"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.fox.lesson011","test_palindromes","","","","test_is_palindrome[-True]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_reverse_array","","","","test_reverse_array[input_array2-expected_result2]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.stephens.ch02","test_find_factors","","","","test_find_factors_version02[10-expected_result1]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_min_value","","","","test_min_value[input_array1-50]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_bubble_sorting","","","","test_bubble_sorting[input_array1-expected_result1]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_bubble_sorting","","","","test_bubble_sorting[input_array4-expected_result4]",""
"skipped","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_merge_sort","","","","test_merge_sort[input_array0-expected_result0]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_insert_sorting","","","","test_insert_sorting[input_array0-expected_result0]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.stephens.ch02","test_find_factors","","","","test_find_factors_version01[125-expected_result2]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_bubble_sorting","","","","test_bubble_sorting[input_array0-expected_result0]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","1","src.test.java.testAlgo.stephens.ch02","test_find_factors","","","","test_find_factors_version01[10-expected_result1]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.cajic","test_bubble_sort","","","","test_bubble_sort[input_array2-expected_result2]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.cajic","test_insertion_sort","","","","test_insertion_sort[input_array2-expected_result2]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_select_sorting","","","","test_select_sorting[input_array4-expected_result4]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.cajic","test_insertion_sort","","","","test_insertion_sort[input_array1-expected_result1]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","1","src.test.java.testAlgo.fox.lesson011","test_towers","","","","test_move[5-1-3-2]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.ahmad.ch03","test_bubble_sort_4","","","","test_bubble_sort[input_array0-expected_result0]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.stephens.ch06","test_heap","","","","test_heap[input_array2-expected_result2]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","1","src.test.java.testAlgo.yang_hu","test_bubble_sorting","","","","test_bubble_sorting[input_array3-expected_result3]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","1","src.test.java.testAlgo.yang_hu","test_select_sorting","","","","test_select_sorting[input_array1-expected_result1]",""
"passed","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","1","src.test.java.testAlgo.stephens.ch06","test_bubble_sorting_2","","","","test_bubble_sorting_2[input_array0-expected_result0]",""
"passed","Wed May 26 14:50:26 GMT 2021","Wed May 26 14:50:26 GMT 2021","0","src.test.java.testAlgo.yang_hu","test_insert_sorting","","","","test_insert_sorting[input_array2-expected_result2]",""
"skipped","Wed May 26 14:50:25 GMT 2021","Wed May 26 14:50:25 GMT 2021","0","src.test.java.testAlgo.stephens.ch02","test_is_prime","","","","test_is_prime[5-100-True]",""
